ST_LABEL,L_ZIP,R_ZIP
QUEENS BOTANICAL GARDEN PATH,11355,11355
4 AV,11220,11220
VANDALIA AV,11239,11239
HENLEY RD,11432,11432
88 RD,11435,11435
NORTHERN BLVD,11363,11363
ED KOCH BR UPPER RY AP,11101,11101
BROADWAY,10019,10019
62 ST,11204,11204
ZEREGA AV,10473,10473
MANGIN ST,10002,10002
HARLEM RIVER DR,10035,10035
BQE E,11377,11377
HARLEM RIVER DR,10035,10035
E 133 ST,10454,10454
GOE EB EN 65 ST,11220,11220
ROCK GARDEN PATH,10458,10458
E 146 ST,10455,10455
155 ST,11355,11355
7 AV,11228,11228
85 AV,11427,11427
FT HAMILTON PKWY,11209,11209
MARCY HOUSES PEDESTRIAN PATH,11206,11206
E 53 ST,11234,11234
OVINGTON AV,11220,11220
E 13 ST,10003,10003
W 138 ST,10031,10031
BROWN PL,10454,10454
MADISON AV,10128,10128
RIVERSIDE DR,10025,10025
188 ST,,
21 AV,11214,11214
ORLOFF AV,10463,10463
WILLIS AV,10454,10454
E 233 ST,10466,10466
41 AV,11101,11101
94 AV,11428,11428
COURT ST,11201,11201
BROADWAY,10032,10032
E 51 ST,11234,11234
SILVER ST,10461,10461
LEONARD AV,10314,10314
DELLWOOD RD,10304,10304
PRINCETON ST,11435,11435
E 15 ST,11229,11229
BAYSIDE AV,11697,11697
E 179 ST,10460,10460
STEDMAN PL,10469,10469
TOMLINSON AV,10461,10461
BUSSING AV,10466,10466
MORRISON AV,10472,10472
THOMSON AVE,11101,11101
WANAMAKER PL,10003,10003
107 AV,11419,11419
E 100 ST,11236,11236
GRAND AV,11238,11238
ROCKAWAY BEACH BLVD,11692,11692
BOROUGH HALL PEDESTRIAN PATH,,
WOODROW RD,10312,10312
WASHINGTON BR PED AND BIKE PATH,10040,10040
ROYCE ST,11234,11234
215 PL,11361,11361
ALLEY,10469,10469
METROPOLITAN AV,11237,11237
NASSAU AV,11222,11222
E 86 ST,10028,10028
PARK DR,10464,10464
WALDO AV,10471,10471
ST STEPHENS PLACE,10306,10306
WHITSON ST,11375,11375
LANGERE PL,10305,10305
E 166 ST,10456,10456
SOUTHERN BLVD,10467,10467
EXTERIOR ST,10451,10451
HOLLAND TUNNEL EXIT PED OPAS,10013,10013
GRAND CONC,10451,10451
101 AV,11419,11419
MORGAN AV,11237,11237
CONNECTOR,10305,10305
CHEROKEE PL,10075,10075
W 230 ST,10463,10463
62 ST,11219,11219
DR M L KING JR EXWY,10302,10302
