,hood_name,amount,borough_name,latitude,longitude,log_amount,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
100,Fort Greene,1643528.0,BROOKLYN,40.688527260189815,-73.97290574369099,6.215777107347919,27.966666666666665,30.95,38.38333333333333
101,Fort Hamilton,814413.0,BROOKLYN,40.6147681269423,-74.0319791453799,5.910844697437678,35.86666666666667,48.9,28.666666666666668
102,Fresh Meadows,994190.0,QUEENS,40.734394465331334,-73.78271337003271,5.9974693905001635,31.466666666666665,53.18333333333333,24.616666666666667
103,Fulton Ferry,3465738.5,BROOKLYN,40.70328109093018,-73.99550751888422,6.539795790838537,25.566666666666666,36.233333333333334,35.85
104,Georgetown,506564.0,BROOKLYN,40.623845244784235,-73.91607483951331,5.70463432253134,54.93333333333333,70.0,26.666666666666668
105,Gerritsen Beach,572826.0,BROOKLYN,40.59084843390208,-73.93010170691203,5.7580227219399305,49.31666666666667,69.13333333333334,27.483333333333334
106,Glen Oaks,675657.0,QUEENS,40.74944079974336,-73.71548118999152,5.829726280539666,33.083333333333336,78.08333333333333,19.966666666666665
107,Glendale,760373.5,QUEENS,40.702762429678415,-73.87074167435614,5.881026972732705,30.5,56.43333333333333,21.916666666666668
108,Gowanus,1134676.0,BROOKLYN,40.6739311431872,-73.99444087145346,6.054871869018235,28.35,36.96666666666667,39.5
109,Gramercy,851037.0,MANHATTAN,40.737209832715045,-73.98137594833548,5.929948442042892,13.416666666666666,20.65,33.016666666666666
110,Graniteville,447423.0,STATEN ISLAND,40.62017151223193,-74.1531524638777,5.6507183054565,36.6,66.23333333333333,38.46666666666667
111,Grant City,575531.0,STATEN ISLAND,40.57621558711792,-74.10585598545441,5.7600687211306205,48.416666666666664,54.766666666666666,42.65
112,Grasmere,632809.0,STATEN ISLAND,40.59826835959995,-74.07667436279057,5.801272647200338,39.11666666666667,45.15,33.18333333333333
113,Gravesend,823660.0,BROOKLYN,40.59526001306597,-73.97347087708452,5.915747975536812,44.45,53.78333333333333,26.316666666666666
114,Great Kills,574283.0,STATEN ISLAND,40.54948022871365,-74.14932381490999,5.759125960429752,54.36666666666667,76.16666666666667,51.7
115,Greenpoint,1778795.0,BROOKLYN,40.730200984864744,-73.954240931274,6.250125900023883,17.9,29.716666666666665,29.916666666666668
116,Greenridge,466087.0,STATEN ISLAND,40.559712496342954,-74.19150620964295,5.6684669898517015,42.38333333333333,82.11666666666666,45.75
117,Greenwich Village,1679017.5,MANHATTAN,40.72693288536132,-73.99991402945909,6.225055222709714,11.183333333333334,15.166666666666666,39.5
118,Grymes Hill,531685.5,STATEN ISLAND,40.62418479131304,-74.08724819983736,5.725654816500269,45.6,55.2,39.81666666666667
119,Hamilton Heights,772320.0,MANHATTAN,40.82360428481197,-73.94968791883373,5.887797281474617,27.116666666666667,32.1,36.016666666666666
120,Heartland Village,584755.0,STATEN ISLAND,40.589138948752854,-74.15902208156608,5.766973943970931,42.8,64.23333333333333,42.9
121,High  Bridge,455173.0,BRONX,40.8366230107061,-73.92610209358138,5.658176492625184,28.966666666666665,37.55,32.516666666666666
122,Highland Park,693586.0,BROOKLYN,40.68248551101694,-73.8902809854761,5.841100318343428,33.9,54.63333333333333,21.0
123,Hillcrest,861669.0,QUEENS,40.72382490182924,-73.79760300912679,5.935340468747922,30.0,62.11666666666667,19.25
124,Hollis,555294.0,QUEENS,40.71124344191908,-73.75925009335602,5.7445229809082425,35.1,64.53333333333333,21.766666666666666
125,Holliswood,969171.0,QUEENS,40.720957207644446,-73.76714166714736,5.986400410491878,30.383333333333333,58.766666666666666,20.983333333333334
126,Homecrest,779123.0,BROOKLYN,40.59852509513729,-73.9591845942871,5.891606025072424,46.583333333333336,44.65,28.25
127,Howard Beach,740014.5,QUEENS,40.6542252773849,-73.83813764600289,5.869240229471911,40.28333333333333,82.36666666666666,13.983333333333333
128,Huguenot,777569.5,STATEN ISLAND,40.53191192048964,-74.19174105747821,5.890739217142652,45.56666666666667,,48.93333333333333
