,index,CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,BORO_NM,Latitude,Longitude
4978,4978,160979460,FELONY,MISCELLANEOUS PENAL LAW,QUEENS,40.730329064000045,-73.82245062099996
4979,4979,136112677,FELONY,ROBBERY,BROOKLYN,40.638219538000044,-74.00494131099998
4980,4980,638166384,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,40.69710652800006,-73.90990893799993
4981,4981,428024926,FELONY,GRAND LARCENY,BRONX,40.86252486500007,-73.89826060999997
4982,4982,616565257,MISDEMEANOR,PETIT LARCENY,BRONX,40.862794075000075,-73.90169110199997
4983,4983,774661801,VIOLATION,HARRASSMENT 2,BROOKLYN,40.579661918000056,-73.93799581399995
4984,4984,421419580,VIOLATION,HARRASSMENT 2,BROOKLYN,40.67787837600008,-73.93731323999998
4985,4985,524878219,FELONY,ROBBERY,BROOKLYN,40.672897902000045,-73.97823813599996
4986,4986,472273431,MISDEMEANOR,SEX CRIMES,MANHATTAN,40.734226128000046,-74.00540668899998
4987,4987,600375131,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.73503562400003,-73.99123676799998
4988,4988,980409316,FELONY,GRAND LARCENY,BROOKLYN,40.700085416000036,-73.94078701799998
4989,4989,116303408,FELONY,ROBBERY,BRONX,40.87339318900007,-73.90063044799997
4990,4990,281696712,VIOLATION,HARRASSMENT 2,BRONX,40.82986943100008,-73.87946977999997
4991,4991,704399249,MISDEMEANOR,PETIT LARCENY,QUEENS,40.76373502300004,-73.93835150699994
4992,4992,326675867,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.72187751800004,-74.00420434399997
4993,4993,111284647,FELONY,BURGLARY,MANHATTAN,40.75001271600007,-73.98237430999995
4994,4994,571702717,VIOLATION,HARRASSMENT 2,MANHATTAN,40.77320624600002,-73.98557783399998
4995,4995,544357971,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BRONX,40.85053489800004,-73.85381191499994
4996,4996,208373579,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.734895538000046,-73.98995943399994
4997,4997,987090183,MISDEMEANOR,PETIT LARCENY,BRONX,40.86880092300004,-73.83167313199993
4998,4998,153291694,FELONY,BURGLARY,QUEENS,40.73897643200007,-73.72645031999998
4999,4999,899903161,MISDEMEANOR,PETIT LARCENY,QUEENS,40.737004517000045,-73.85169024199999
5000,5000,405895487,FELONY,GRAND LARCENY,BROOKLYN,40.66191338500005,-73.88022019899995
5001,5001,373067480,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.756159513000064,-73.99696225599996
5002,5002,992279522,VIOLATION,HARRASSMENT 2,BROOKLYN,40.64270662900003,-73.89558336499994
5003,5003,171282039,VIOLATION,HARRASSMENT 2,BROOKLYN,40.684699840000064,-73.92474482599994
