,amount,borough_name,hood_name,total_crime,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
131,851037.0,MANHATTAN,Gramercy,62,40.737209832715045,-73.98137594833548,13.416666666666664,18.7,33.016666666666666
132,1679017.5,MANHATTAN,Greenwich Village,48,40.72693288536132,-73.99991402945909,11.183333333333335,15.166666666666664,39.5
133,772320.0,MANHATTAN,Hamilton Heights,126,40.82360428481197,-73.94968791883373,27.11666666666667,32.68333333333333,36.016666666666666
134,478409.0,MANHATTAN,Inwood,57,40.867683964499186,-73.92121042203905,28.88333333333333,42.0,37.06666666666667
135,999444.0,MANHATTAN,Lenox Hill,28,40.768112658287365,-73.95885968813765,21.416666666666668,13.15,37.86666666666667
136,1066367.0,MANHATTAN,Lincoln Square,122,40.773528889421705,-73.9853377700127,18.966666666666665,19.4,42.85
137,1397524.0,MANHATTAN,Little Italy,21,40.719323793959106,-73.99730467208079,16.1,17.166666666666668,36.95
138,956284.0,MANHATTAN,Lower East Side,76,40.717806748927686,-73.98089031999298,18.15,28.43333333333333,35.31666666666667
139,1040904.0,MANHATTAN,Manhattan Valley,83,40.7973070417029,-73.96428617740662,24.966666666666665,25.88333333333333,39.8
140,758131.5,MANHATTAN,Manhattanville,76,40.81693442949784,-73.95738539351888,23.966666666666665,34.5,37.91666666666666
141,519675.5,MANHATTAN,Marble Hill,1,40.87655077879968,-73.91065965862988,34.78333333333333,45.28333333333333,38.5
142,1058101.0,MANHATTAN,Midtown,117,40.754691102706275,-73.98166882730311,9.3,11.583333333333336,38.11666666666667
143,1255071.5,MANHATTAN,Midtown South,134,40.74850966431225,-73.98871313285254,0.0,0.0,34.25
144,742687.0,MANHATTAN,Morningside Heights,27,40.80799973816586,-73.96389627905339,27.25,38.55,42.333333333333336
145,711365.0,MANHATTAN,Murray Hill,44,40.748303077252224,-73.97833207924134,7.566666666666666,3.1666666666666665,28.816666666666666
